artist,artist_id,name,song_id,emo,duration,popularity,url
Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Before You Go,2gMXnyrvIjhVBUZwvLZDMP,sadness,00:03:35,82,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,It'll Be Okay,2KnLkZ3z7PO3kgVGHGqDpD,sadness,00:03:42,82,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
Lauren Spencer-Smith,79AyR6ATpj2LTPxfb6FX50,Fingers Crossed,5S9Zs5g9lTWnLIboN1pdlU,sadness,00:02:55,45,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
Benson Boone,22wbnEMDvgVIAGdFeek6ET,GHOST TOWN,135Lf4Q0CzlMNfOxbEUsLH,sadness,00:03:13,81,https://open.spotify.com/track/135Lf4Q0CzlMNfOxbEUsLH
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,traitor,5CZ40GBx1sQ9agT82CLQCT,sadness,00:03:49,89,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
Clinton Kane,7okSU80WTrn4LXlyXYbX3P,I GUESS I'M IN LOVE,1is8gU4RVcN4J8xItxWoOY,sadness,00:03:24,80,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
Harry Styles,6KImCVD70vtIoJWnq6nGn3,Boyfriends,6qj02zSeEJGWZ4c0dn5QzJ,sadness,00:03:14,87,https://open.spotify.com/track/6qj02zSeEJGWZ4c0dn5QzJ
Lauren Spencer-Smith,79AyR6ATpj2LTPxfb6FX50,Flowers,6Z165JvPnS8PYvGW8oLGLc,sadness,00:02:37,82,https://open.spotify.com/track/6Z165JvPnS8PYvGW8oLGLc
Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Hurtless,6HJizCbaqaEQG1eLjn341Z,sadness,00:03:00,77,https://open.spotify.com/track/6HJizCbaqaEQG1eLjn341Z
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Lonely (with benny blanco),3S8jK1mGzQi24ilFb45DAZ,sadness,00:02:29,73,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
Adele,4dpARuHxo51G3z768sgnrY,Easy On Me,46IZ0fSY2mpAiktS3KOqds,sadness,00:03:44,84,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
Sarah Cothran,3kft86DbqCNr7rjq3pEj0G,As the World Caves In,7LAmsNJpBaNvNg7VZPXxSv,sadness,00:02:41,2,https://open.spotify.com/track/7LAmsNJpBaNvNg7VZPXxSv
Beach House,56ZTgzPBDge0OvCGgMO3OY,Space Song,1ujxjsoNvh4XgS2fUNwkZ2,sadness,00:05:20,73,https://open.spotify.com/track/1ujxjsoNvh4XgS2fUNwkZ2
Lexi Jayde,69761NObDw2KwmmFgZmxzC,drunk text me,2tbu7dOzCjM5JrPGr0sIes,sadness,00:03:33,66,https://open.spotify.com/track/2tbu7dOzCjM5JrPGr0sIes
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,"Elliot's Song (with Dominic Fike, Zendaya & Labrinth)",5BjcI61j62j5lDmJowxcRG,sadness,00:02:30,55,https://open.spotify.com/track/5BjcI61j62j5lDmJowxcRG
flora cash,6GpcBKNmZDIrRzYkPJu7Wd,You're Somebody Else,0pdKRp2sUthTPe7RLWpPqQ,sadness,00:03:38,74,https://open.spotify.com/track/0pdKRp2sUthTPe7RLWpPqQ
Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,sadness,00:03:28,77,https://open.spotify.com/track/0QZ5yyl6B6utIWkxeBDxQN
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,drivers license,7lPN2DXiMsVn7XUKtOW1CS,sadness,00:04:02,31,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
Giveon,4fxd5Ee7UefO4CUXgwJ7IP,Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,sadness,00:03:18,83,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
SYML,6AyATGg7mDgBlZ4N5uNog0,Where's My Love,2NeM9rfWo70KQej9GxeaoL,sadness,00:03:22,29,https://open.spotify.com/track/2NeM9rfWo70KQej9GxeaoL
Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,sadness,00:03:02,86,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Visiting Hours,44V6EzbUSYgyfsNiP0FrlA,sadness,00:03:35,73,https://open.spotify.com/track/44V6EzbUSYgyfsNiP0FrlA
Emily Burns,6Gi8ZaXGx8MK79HwzXpuVZ,Is It Just Me? (feat. JP Cooper),754zNJgoWQaGETFzSYVlmC,sadness,00:03:23,65,https://open.spotify.com/track/754zNJgoWQaGETFzSYVlmC
Malachi Gagnon,5ypiXY7PJ0KSUk5YbaNv3t,Psychopath,1bRpAoj8CvguxDwMbVXC4e,sadness,00:03:22,50,https://open.spotify.com/track/1bRpAoj8CvguxDwMbVXC4e
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,everyone at this party,43klOCoUcqtkNWCqQQvh9W,sadness,00:02:48,62,https://open.spotify.com/track/43klOCoUcqtkNWCqQQvh9W
Nova Miller,69iZuswGpLplhnKBE0MxcA,cold feet,7lHd4eqgPeDMMmcinSTfQF,sadness,00:02:52,43,https://open.spotify.com/track/7lHd4eqgPeDMMmcinSTfQF
ZAYN,5ZsFI1h6hIdQRw2ti0hz81,Dusk Till Dawn (feat. Sia) - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,sadness,00:03:59,78,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
James Arthur,4IWBUUAFIplrNtaOHcJPRM,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,sadness,00:03:31,84,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
Jacob Tillberg,6aJRwrwfOffz7RMh2Cfm8e,Still Lost,74TyVgCIQH6RTf2x49UaUO,sadness,00:02:56,43,https://open.spotify.com/track/74TyVgCIQH6RTf2x49UaUO
NGO,3UKatg0fWx5md56wN6mEYb,Just For You,4oNwIK0YAbcTFMFKKaPHr3,sadness,00:02:29,52,https://open.spotify.com/track/4oNwIK0YAbcTFMFKKaPHr3
Mimi Webb,3GxKJzJK4LpsYGXQrw77wz,5��24��,1A6gT680oQr98VtDkNzys7,sadness,00:02:38,61,https://open.spotify.com/track/1A6gT680oQr98VtDkNzys7
Bri Fletcher,7L0vBPI3KGaA64mN3j1x3m,There's Still Tomorrow,73aGWwY52gv78xBGsjC3gk,sadness,00:03:06,45,https://open.spotify.com/track/73aGWwY52gv78xBGsjC3gk
Post Malone,246dkjvS1zLTtiykXe5h60,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,sadness,00:03:43,80,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
Danyál,1ctB1UK1a79EJJaNKWWjeh,Time Is Gone,051dVNuyD7t0IwOWZ7gZEO,sadness,00:03:27,44,https://open.spotify.com/track/051dVNuyD7t0IwOWZ7gZEO
Alexa Kate Henry,7Ia1uOjvIjOeCvRl1WGxgu,Your type,1LnwcJj2cqhtTAK0YoIEGD,sadness,00:02:37,39,https://open.spotify.com/track/1LnwcJj2cqhtTAK0YoIEGD
NF,6fOMl44jA4Sp5b9PpYCkzz,Let You Down,52okn5MNA47tk87PeZJLEL,sadness,00:03:32,80,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
Jonny West,3WZbnaao6ao4diqMVvDJXk,Holyfield,6DdlGv4y8iFabb9K8adgns,sadness,00:03:18,34,https://open.spotify.com/track/6DdlGv4y8iFabb9K8adgns
Tate McRae,45dkTj5sMRSjrmBSBeiHym,you broke me first,45bE4HXI0AwGZXfZtMp8JR,sadness,00:02:49,84,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
Westrin & Mowry,4g6bagrdZFR1kaKZqoExA2,Love You More,6NMTssSfB0GlWuJOfJmb1T,sadness,00:03:51,37,https://open.spotify.com/track/6NMTssSfB0GlWuJOfJmb1T
Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,You Are The Reason,69vToJ9BMbbLlFZo7k7A7B,sadness,00:03:24,80,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
The Sometimes Island,3SqtHH9uGzfm9UIc7veyuK,Barbara Wants,0fx5TUxwrHlz6hKjNZfQpp,sadness,00:05:08,53,https://open.spotify.com/track/0fx5TUxwrHlz6hKjNZfQpp
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,happier,2tGvwE8GcFKwNdAXMnlbfl,sadness,00:02:55,86,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
Edwrd,00XyHLLLzyDqJ517a9KuuT,Everything,57oilX1OZ0L69BO0Xs7tv7,sadness,00:02:45,42,https://open.spotify.com/track/57oilX1OZ0L69BO0Xs7tv7
Thee JAE,3L5sqWmhlRhqcfZAAk4rFV,HOLD ME DOWN,7G6VaNeMTfKW2ojJ86EPRB,sadness,00:02:37,39,https://open.spotify.com/track/7G6VaNeMTfKW2ojJ86EPRB
Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Be Alright,3EPXxR3ImUwfayaurPi3cm,sadness,00:03:16,80,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
harris,0ON7FATSdTyyyi5ZMy4Jjo,Liquid Courage,2ZST0ukwHgf45Kh6eTffqF,sadness,00:04:27,38,https://open.spotify.com/track/2ZST0ukwHgf45Kh6eTffqF
Rosie Darling,6kDXH8d9LugUAsHIozzDAI,Coping,4RX020eHQpZbZFP5jpbwOP,sadness,00:03:10,71,https://open.spotify.com/track/4RX020eHQpZbZFP5jpbwOP
Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Serotonin,7qGTqLLIHXStOkmnSkZAbY,sadness,00:02:57,67,https://open.spotify.com/track/7qGTqLLIHXStOkmnSkZAbY
Apollo Clone,6iD1omJ46ssXjwFeeyAgah,29 (Separate Ways),1gSCHl5sMDndmFcu3Eq7DU,sadness,00:02:24,41,https://open.spotify.com/track/1gSCHl5sMDndmFcu3Eq7DU
Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,Heather,4xqrdfXkTW4T0RauPLv3WA,sadness,00:03:18,86,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
TOB Duke,0swrkotfXHdeJNfkELoFkS,Forgive Me (feat. NoCap),0nNzHcIlG8rCoXDCM8Sdli,sadness,00:02:37,42,https://open.spotify.com/track/0nNzHcIlG8rCoXDCM8Sdli
Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Half A Man,1ugQtcwmKOXvKAYzhjncmv,sadness,00:02:59,76,https://open.spotify.com/track/1ugQtcwmKOXvKAYzhjncmv
Luki,5OZOCvyJ2yxpzvA85ASGZk,SUMMER LOVE LETTERS,0C3iUG0ahkI7RkHLXlGHka,sadness,00:03:48,40,https://open.spotify.com/track/0C3iUG0ahkI7RkHLXlGHka
harris,0ON7FATSdTyyyi5ZMy4Jjo,Shapeshifter,6O8ECP0BRhR8emAlSdNC9d,sadness,00:04:46,47,https://open.spotify.com/track/6O8ECP0BRhR8emAlSdNC9d
Jen Awad,3ZvL8EjGXF2Kthpc3kpbpF,Moonlight,1nKK8aUIdPMyfDY2WVn6TU,sadness,00:03:52,39,https://open.spotify.com/track/1nKK8aUIdPMyfDY2WVn6TU
Alexander 23,6sFHvCyqklnJpXC9Nh1aag,IDK You Yet,47EWMOElkkbMp5m9SBkx7d,sadness,00:03:04,11,https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d
Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,sadness,00:02:49,84,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
D-BLOCH,26UBrVgeN3qbGfjrKguQ1E,DREAMS,40TjHYHUViviMeyH5noUdI,sadness,00:02:44,42,https://open.spotify.com/track/40TjHYHUViviMeyH5noUdI
Jessie Murph,2yLzlEFtIS0Q9UkyBZdQA7,Always Been You,2zpZkOV7sD9C4Cv0cukoHV,sadness,00:02:11,75,https://open.spotify.com/track/2zpZkOV7sD9C4Cv0cukoHV
Ruel,5xkAtLTf309LAGZTbvULBn,LET THE GRASS GROW,2BN5ZMErVAhbEroB99b3no,sadness,00:02:55,65,https://open.spotify.com/track/2BN5ZMErVAhbEroB99b3no
Blu Jay,6wTCrom9eOUIgNwXGyB7A5,Unusual,3N18JE9zDDp1puxcGj9VDO,sadness,00:02:46,38,https://open.spotify.com/track/3N18JE9zDDp1puxcGj9VDO
Jeremy Zucker,3gIRvgZssIb9aiirIg0nI3,comethru,18uwL0vNUanqZH0ro2QcOP,sadness,00:03:01,79,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
saturdayco,0Vfg5xMwP6RWZHZVIufE6f,forever stay never,4tg2l5IYTINL5m78gFpqkc,sadness,00:03:31,31,https://open.spotify.com/track/4tg2l5IYTINL5m78gFpqkc
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,2 Much,0oaY19dUwZimIgzn3ZZLZO,sadness,00:02:32,71,https://open.spotify.com/track/0oaY19dUwZimIgzn3ZZLZO
Caroline Romano,1MgbE6bu4MzbVLfAesPRol,Hollister (I Want To be Her Version),2LBizzvHjn2oIZ5csVBfJ6,sadness,00:02:29,34,https://open.spotify.com/track/2LBizzvHjn2oIZ5csVBfJ6
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,favorite crime,5JCoSi02qi3jJeHdZXMmR8,sadness,00:02:32,86,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
Sody,01y8iBZYk8aeNfPsuTVrAt,Old Flame,23KrgrkSQN9rY3DWbklgMc,sadness,00:02:47,48,https://open.spotify.com/track/23KrgrkSQN9rY3DWbklgMc
Jeremy Zucker,3gIRvgZssIb9aiirIg0nI3,you were good to me (bonus track),0JnSoyZMTYZLWFVdVT1JFZ,sadness,00:03:39,0,https://open.spotify.com/track/0JnSoyZMTYZLWFVdVT1JFZ
BAINS.,1k1UhxIjS2zMahE8gK3a0g,Feel Awful,1l02ZKNQu37krlwPXJKrKf,sadness,00:03:35,36,https://open.spotify.com/track/1l02ZKNQu37krlwPXJKrKf
Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Bruises,4Of7rzpRpV1mWRbhp5rAqG,sadness,00:03:40,79,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
Austin Riddle,2JXusS4jyG8qQpxsY8Rw2T,Thrill,1c3xW9bGInGIpuufPmkwYS,sadness,00:02:40,38,https://open.spotify.com/track/1c3xW9bGInGIpuufPmkwYS
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Imagination,21TcDbGosp7w9YhTjOszgA,sadness,00:03:37,75,https://open.spotify.com/track/21TcDbGosp7w9YhTjOszgA
Benjamin Quay,1fnFh9k2AOJgHqYWnRJ6R0,Beautiful Places,5JvUk9n534IN810q02NtE0,sadness,00:03:39,35,https://open.spotify.com/track/5JvUk9n534IN810q02NtE0
Sik World,39G9Mcs99KhOEtVuthwztS,7 Years (Remix),1kFlDnWmBTvCBxxeGDpIdp,sadness,00:02:14,71,https://open.spotify.com/track/1kFlDnWmBTvCBxxeGDpIdp
Harry Styles,6KImCVD70vtIoJWnq6nGn3,Falling,1ZMiCix7XSAbfAJlEZWMCp,sadness,00:04:00,86,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
Anna Shoemaker,3STjhKc10jr3X60mDRpHV4,Mariah,4dKoYP74fpQJCvFDU38QcD,sadness,00:02:56,45,https://open.spotify.com/track/4dKoYP74fpQJCvFDU38QcD
Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Love Someone,2JqnpexlO9dmvjUMCaLCLJ,sadness,00:03:25,67,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ
Maddie Ashman,0kUfq7dUYNktJeT3OgFhtO,6AM,64lgSa3o47h9fv2S1RO8Co,sadness,00:02:44,34,https://open.spotify.com/track/64lgSa3o47h9fv2S1RO8Co
Cabela and Schmitt,2H54cElVw72XtIIXnlcja1,Now That You Know,2TS1vtFXyaiWttLbmQUYHa,sadness,00:06:31,38,https://open.spotify.com/track/2TS1vtFXyaiWttLbmQUYHa
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,changes,7AFASza1mXqntmGtbxXprO,sadness,00:02:01,80,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
Old Zebulon Rd,74rkfAl5V1OIEqQ5YupbSt,I See You,0JBtjjUaCUktubMljnMfpb,sadness,00:04:29,34,https://open.spotify.com/track/0JBtjjUaCUktubMljnMfpb
NF,6fOMl44jA4Sp5b9PpYCkzz,If You Want Love,3i5qVV8azKqGFK4Gzdt5YS,sadness,00:03:19,76,https://open.spotify.com/track/3i5qVV8azKqGFK4Gzdt5YS
Jared Anthony,5jojdq6ltCT6cbv6WpKikI,Old Ways,2p9mp7ndfhWZrEpKkAw3sp,sadness,00:03:19,38,https://open.spotify.com/track/2p9mp7ndfhWZrEpKkAw3sp
Tate McRae,45dkTj5sMRSjrmBSBeiHym,lie to me,4f9IfFvBFm7Gsf1IVEudyf,sadness,00:02:57,66,https://open.spotify.com/track/4f9IfFvBFm7Gsf1IVEudyf
REBORN,4R63UnHZa7LKusZEASpYiZ,Oceans,6I0Crgbsk0Qk2r0oS1h7ba,sadness,00:03:53,39,https://open.spotify.com/track/6I0Crgbsk0Qk2r0oS1h7ba
Joji,3MZsBdqDrRTJihTHQrO6Dq,Afterthought,6zvqq50PL7io0rprbkrYc9,sadness,00:03:14,69,https://open.spotify.com/track/6zvqq50PL7io0rprbkrYc9
Jackie Bristow,7zdcCbbwjjBh7dHEfIUzyJ,Without You,4llq5JSXSVLqYK3swb1Wyi,sadness,00:03:46,29,https://open.spotify.com/track/4llq5JSXSVLqYK3swb1Wyi
Allocai,35hdnctklAphlKzgR8aHpq,Bad For Me,10am1LvdZrQpZR0wmUz8ds,sadness,00:03:08,56,https://open.spotify.com/track/10am1LvdZrQpZR0wmUz8ds
Tate McRae,45dkTj5sMRSjrmBSBeiHym,that way,7l97ElWmIdVHWUaOeeU5ZC,sadness,00:02:55,79,https://open.spotify.com/track/7l97ElWmIdVHWUaOeeU5ZC
PETER LAKE,2LO6MZ0w06BnfgIfoJHIe6,Pour Your Lies,3zaqBEkPpIMBi3ll1lESHH,sadness,00:03:30,42,https://open.spotify.com/track/3zaqBEkPpIMBi3ll1lESHH
Kina,4qIVPF0s71ZYW3qzhu5GkF,Can We Kiss Forever?,58wyJLv6yH1La9NIZPl3ne,sadness,00:03:07,77,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
Benjamin Quay,1fnFh9k2AOJgHqYWnRJ6R0,Flicker,7C6K76g54tlY9uEOQ5K29D,sadness,00:04:05,34,https://open.spotify.com/track/7C6K76g54tlY9uEOQ5K29D
AIR APPARENT,1t4CeVXKlDWTwwroCmPdk8,100%,06pdg7OlsE63vMAn5B3jSQ,sadness,00:02:51,38,https://open.spotify.com/track/06pdg7OlsE63vMAn5B3jSQ
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,sadness,00:03:20,87,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
Chlo Subia,22eHwBuc3AdGzax5T5AsDj,STARSIGN,3Rymk6zx8IuQL24P3vIFiB,sadness,00:03:02,37,https://open.spotify.com/track/3Rymk6zx8IuQL24P3vIFiB
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,hope ur ok,1zejeOnykpCoyVSit6Bwp3,sadness,00:03:29,78,https://open.spotify.com/track/1zejeOnykpCoyVSit6Bwp3
Nick Kandler,6tmzRs9PljJyKrLArTgWr2,Kill You Slowly,3BZJYRUTFiXpAMyRZfaXSa,sadness,00:02:17,28,https://open.spotify.com/track/3BZJYRUTFiXpAMyRZfaXSa
Zach Hood,5aHlyw2WWqZW0HLICBuv7U,never knew a heart could break itself,4d2ZJ9W7dkQuITwUCTuD5n,sadness,00:02:35,65,https://open.spotify.com/track/4d2ZJ9W7dkQuITwUCTuD5n
Duncan Laurence,3klZnJvYGIbWritVwQD434,Arcade,1J14CdDAvBTE1AJYUOwl6C,sadness,00:03:05,75,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
Maddie Ashman,0kUfq7dUYNktJeT3OgFhtO,I Care,6mXstnWJ2CLvIke9QvmL2d,sadness,00:02:48,29,https://open.spotify.com/track/6mXstnWJ2CLvIke9QvmL2d
Stephen Sanchez,5XKFrudbV4IiuE5WuTPRmT,Until I Found You,0T5iIrXA4p5GsubkhuBIKV,sadness,00:02:57,91,https://open.spotify.com/track/0T5iIrXA4p5GsubkhuBIKV
Joji,3MZsBdqDrRTJihTHQrO6Dq,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,sadness,00:03:53,96,https://open.spotify.com/track/6xGruZOHLs39ZbVccQTuPZ
Hinshi,6K1Arugub6xpjLfkJfgCZL,closer,6YnthMWv62JY3ka2YAvCCh,sadness,00:01:55,46,https://open.spotify.com/track/6YnthMWv62JY3ka2YAvCCh
Tom Rosenthal,1AgxgADPuRIW1wyaA4OKcB,Lights Are On,4IhTXiZLKATmwhMZIb1GQN,sadness,00:03:13,80,https://open.spotify.com/track/4IhTXiZLKATmwhMZIb1GQN
Delaney Bailey,3Os4q49SgEN0Tv3fxKw3Sp,Oh Love,28Obqqr7EtnSNul1TJiQcX,sadness,00:02:44,52,https://open.spotify.com/track/28Obqqr7EtnSNul1TJiQcX
luca.,7rvToKFpMMPIwV1kr6MUJI,someone who'll care,3qpq58IwLwMtsZ667ch7BP,sadness,00:02:44,45,https://open.spotify.com/track/3qpq58IwLwMtsZ667ch7BP
Bruno Major,0hDjKSKjl1DC7ovYTDJHe8,Nothing,2IAR0DziHCjSu16gR4ihvy,sadness,00:02:42,80,https://open.spotify.com/track/2IAR0DziHCjSu16gR4ihvy
Beach House,56ZTgzPBDge0OvCGgMO3OY,Space Song,1ujxjsoNvh4XgS2fUNwkZ2,sadness,00:05:20,73,https://open.spotify.com/track/1ujxjsoNvh4XgS2fUNwkZ2
The Cinematic Orchestra,32ogthv0BdaSMPml02X9YB,To Build A Home,54KFQB6N4pn926IUUYZGzK,sadness,00:06:11,74,https://open.spotify.com/track/54KFQB6N4pn926IUUYZGzK
Sølace,62AlnDIQccDoQ5FPZRrSL3,remedy,6BtaOqGNg6mILnDL24RrdE,sadness,00:04:06,47,https://open.spotify.com/track/6BtaOqGNg6mILnDL24RrdE
Kina,4qIVPF0s71ZYW3qzhu5GkF,Get You The Moon (feat. Snøw),4ZLzoOkj0MPWrTLvooIuaa,sadness,00:02:59,80,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
SYML,6AyATGg7mDgBlZ4N5uNog0,Where's My Love,2NeM9rfWo70KQej9GxeaoL,sadness,00:03:22,29,https://open.spotify.com/track/2NeM9rfWo70KQej9GxeaoL
Joji,3MZsBdqDrRTJihTHQrO6Dq,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,sadness,00:03:29,85,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
yaeow,4Abe9XH0fplj8dbOddoYgH,I Need U,6tmZRSTEAW90RI8nXsly1f,sadness,00:02:22,61,https://open.spotify.com/track/6tmZRSTEAW90RI8nXsly1f
Valera,5408YTsXEeDoU6JMfu6S1p,WANT U BAD,1w9yRUuQjZSG5rONZjJE6z,sadness,00:02:13,45,https://open.spotify.com/track/1w9yRUuQjZSG5rONZjJE6z
Hayd,1adGvsK8A0XG2D18ufk7fZ,What Did I Do?,3olUFMwgASQGeXrlm4g6OH,sadness,00:03:35,59,https://open.spotify.com/track/3olUFMwgASQGeXrlm4g6OH
Novo Amor,0rZp7G3gIH6WkyeXbrZnGi,Repeat Until Death,5PzWVmfzu7rePAuFkxPQf0,sadness,00:03:54,71,https://open.spotify.com/track/5PzWVmfzu7rePAuFkxPQf0
Charlotte Lawrence,7LImGq5KnzQobZciDJpeJb,Everybody Loves You,1gegwT9vR2vlhO2xyQTroA,sadness,00:03:24,0,https://open.spotify.com/track/1gegwT9vR2vlhO2xyQTroA
Coyote Theory,48vmXfV0QPy3ljXBp81Fwn,This Side of Paradise - slowed,3BIBnyt40zWjPCNqRyGwPp,sadness,00:05:04,65,https://open.spotify.com/track/3BIBnyt40zWjPCNqRyGwPp
Kodaline,4BxCuXFJrSWGi1KHcVqaU4,All I Want,0NlGoUyOJSuSHmngoibVAs,sadness,00:05:05,82,https://open.spotify.com/track/0NlGoUyOJSuSHmngoibVAs
Before You Exit,64NYWpxh4HgzMb1SwCCjMw,Same Sun,3lAdYuIqkk9T6I9Yc7yw4L,sadness,00:03:55,49,https://open.spotify.com/track/3lAdYuIqkk9T6I9Yc7yw4L
Kehard,6bQNj9hzQAggybweFsY8G8,sick of love,2LGEb04cnweMm8wUehz1Qd,sadness,00:02:08,43,https://open.spotify.com/track/2LGEb04cnweMm8wUehz1Qd
JANNABI,2SY6OktZyMLdOnscX3DCyS,for lovers who hesitate,5BqwC9kOBbqYkzdOKeXFFk,sadness,00:04:25,61,https://open.spotify.com/track/5BqwC9kOBbqYkzdOKeXFFk
Kina,4qIVPF0s71ZYW3qzhu5GkF,Can We Kiss Forever?,58wyJLv6yH1La9NIZPl3ne,sadness,00:03:07,77,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
Anson Seabra,2jHp7gQArCQrlMvdrIVFCg,Broken,2AHKsVXN6BjBO8SEVX6cBC,sadness,00:05:05,64,https://open.spotify.com/track/2AHKsVXN6BjBO8SEVX6cBC
Swik,7IgAHxP7vH6TfXJtf8Kbai,i feel wasted,1WSirpUds0qbXIePLlgiwU,sadness,00:02:26,44,https://open.spotify.com/track/1WSirpUds0qbXIePLlgiwU
Tom Rosenthal,1AgxgADPuRIW1wyaA4OKcB,It's Ok,2Iyfw8YfKruAagJwGc4G07,sadness,00:03:11,69,https://open.spotify.com/track/2Iyfw8YfKruAagJwGc4G07
Ruth B.,2WzaAvm2bBCf4pEhyuDgCY,If By Chance,21dpBHPTV7ythCHBI6Slcw,sadness,00:05:03,71,https://open.spotify.com/track/21dpBHPTV7ythCHBI6Slcw
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,listen before i go,0tMSssfxAL2oV8Vri0mFHE,sadness,00:04:02,76,https://open.spotify.com/track/0tMSssfxAL2oV8Vri0mFHE
Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Apocalypse,7McZS9J6h0SKoZBR6cfcFe,sadness,00:04:50,0,https://open.spotify.com/track/7McZS9J6h0SKoZBR6cfcFe
Madson.,2NT393laOOfABIx8c29xWB,its better like this,2TjmKNPHohHn03OKOWbT91,sadness,00:02:53,41,https://open.spotify.com/track/2TjmKNPHohHn03OKOWbT91
Kina,4qIVPF0s71ZYW3qzhu5GkF,Baby You're Worth It,6vJ6FR4WtlKSxe8lmh3F1C,sadness,00:02:10,15,https://open.spotify.com/track/6vJ6FR4WtlKSxe8lmh3F1C
Sunset Rollercoaster,7BqRcZsHYYQeqMAOp7e532,My Jinji,59Bc4RPzSL3nYPANh25a6J,sadness,00:06:40,61,https://open.spotify.com/track/59Bc4RPzSL3nYPANh25a6J
